cards, #_wins, #_occur, winRate
"[[H 6] [H 8]]",1,1,1
"[[C 11] [H 1]]",1,1,1
"[[D 6] [H 13]]",0,1,0
"[[H 11] [S 1]]",0,1,0
"[[C 5] [S 7]]",0,1,0
"[[C 6] [S 11]]",1,1,1
"[[C 3] [C 7]]",0,1,0
"[[D 3] [S 3]]",0,2,0
"[[D 6] [S 13]]",0,1,0
"[[C 13] [D 4]]",1,1,1
"[[C 2] [C 11]]",0,1,0
"[[D 4] [S 1]]",0,1,0
"[[D 1] [D 7]]",0,1,0
"[[C 12] [D 11]]",1,1,1
"[[C 8] [S 7]]",0,1,0
"[[D 4] [D 11]]",1,1,1
"[[H 10] [S 6]]",0,1,0
"[[H 2] [H 9]]",0,1,0
"[[D 8] [S 5]]",0,1,0
"[[D 11] [S 8]]",0,2,0
"[[H 8] [H 13]]",0,1,0
"[[C 2] [S 11]]",0,1,0
"[[D 2] [D 4]]",1,1,1
"[[C 6] [H 4]]",1,1,1
"[[D 5] [S 10]]",0,1,0
"[[C 1] [C 8]]",1,1,1
"[[D 4] [H 6]]",0,1,0
"[[H 7] [S 12]]",0,1,0
"[[H 4] [S 13]]",0,1,0
"[[H 13] [S 4]]",0,1,0
"[[D 2] [S 5]]",0,1,0
"[[H 9] [S 1]]",0,1,0
"[[C 9] [D 10]]",1,1,1
"[[C 5] [H 2]]",1,1,1
"[[C 8] [D 6]]",0,1,0
"[[D 4] [H 10]]",0,1,0
"[[C 5] [S 10]]",0,1,0
"[[D 10] [H 13]]",0,1,0
"[[C 7] [S 12]]",1,1,1
"[[C 7] [H 10]]",0,2,0
"[[C 1] [D 2]]",1,2,0.5
"[[H 3] [H 6]]",0,1,0
"[[C 11] [S 8]]",0,1,0
"[[H 5] [H 13]]",0,1,0
"[[C 10] [H 12]]",0,1,0
"[[C 11] [D 7]]",0,1,0
"[[C 1] [S 12]]",0,1,0
"[[D 13] [H 4]]",1,1,1
"[[C 7] [D 8]]",0,1,0
"[[C 6] [H 10]]",0,1,0
"[[C 2] [H 4]]",1,1,1
"[[D 6] [H 12]]",0,1,0
"[[C 12] [D 9]]",0,1,0
"[[D 2] [S 4]]",1,1,1
"[[D 6] [H 9]]",0,1,0
"[[D 11] [S 13]]",1,1,1
"[[C 11] [S 12]]",0,1,0
"[[S 1] [S 5]]",0,1,0
"[[C 10] [D 5]]",0,1,0
"[[S 6] [S 11]]",0,1,0
"[[C 11] [H 9]]",0,1,0
"[[D 4] [H 7]]",0,1,0
"[[D 3] [D 11]]",1,1,1
"[[D 10] [H 11]]",0,1,0
"[[C 3] [S 12]]",0,1,0
"[[C 5] [D 6]]",0,1,0
"[[D 4] [H 12]]",1,1,1
"[[C 1] [S 3]]",0,1,0
"[[C 13] [H 6]]",1,1,1
"[[D 5] [S 13]]",0,1,0
"[[C 4] [H 11]]",1,1,1
"[[H 2] [S 2]]",0,1,0
"[[H 1] [H 5]]",0,1,0
"[[H 2] [S 13]]",0,1,0
"[[D 13] [S 1]]",1,1,1
"[[C 7] [S 11]]",0,1,0
"[[H 4] [H 12]]",0,1,0
"[[C 5] [D 1]]",0,1,0
"[[D 5] [S 1]]",0,1,0
"[[C 1] [C 12]]",1,1,1
"[[D 12] [H 9]]",0,1,0
"[[C 4] [S 3]]",0,1,0
"[[C 6] [H 2]]",0,1,0
"[[H 7] [H 11]]",1,1,1
"[[D 6] [D 13]]",0,1,0
"[[D 5] [S 4]]",0,1,0
"[[C 4] [H 3]]",0,1,0
"[[C 8] [H 13]]",0,1,0
"[[D 12] [H 5]]",0,1,0
"[[C 13] [S 13]]",1,1,1
"[[C 12] [D 3]]",0,1,0
"[[D 6] [D 8]]",1,1,1
"[[S 1] [S 6]]",0,1,0
"[[H 2] [S 7]]",0,1,0
"[[H 3] [S 9]]",0,1,0
"[[H 12] [S 3]]",0,1,0
